# ---------------------------------------------- header, 5 lines----------------
# Spectral Response Curve (monochrome)
# Taken from company pdf, 14-04-2021
#  Wavelength(nm)  Response (A/W)
# ------------------------------------------------------------------------------
   1.0503189e+03   1.3315927e-02
   1.0532630e+03   1.1644909e-02
   1.0562071e+03   1.0182768e-02
   1.0613592e+03   9.0339426e-03
   1.0650393e+03   7.6762402e-03
   1.0679833e+03   6.4229765e-03
   1.0753435e+03   5.4830287e-03
   1.0768155e+03   4.8563969e-03
   1.0819676e+03   4.4386423e-03
   1.0841757e+03   4.1253264e-03
   1.0856477e+03   3.7075718e-03
   1.0922718e+03   3.4986945e-03
   1.0966879e+03   3.2201915e-03
   1.0988960e+03   3.3942559e-03
